20230822	17:59:39	7d6d1a94-4eeb-4ffa-83b1-73ef2eb60347	/new-page	GET
20230822	17:59:39	ea03054c-3eec-4e14-b9bf-b94701044cf3	/css/style.css	GET
20230822	17:59:39	e0f9c762-e59d-4ab6-8c50-ff437e6790a3	/img/img1.jpg	GET
20230822	17:59:39	a11e8e2f-bac7-4c3c-812a-123db818300a	/favicon.ico	GET
20230822	20:07:11	b1a0329a-b218-4bff-b094-9323a3052185	/	GET
20230822	20:07:11	9e47cc69-252a-4843-9e15-4255ebbc2e54	/css/style.css	GET
20230822	20:07:11	5d1e01f1-bd9e-4cd5-bfe4-253c22cf5f3b	/favicon.ico	GET
20230822	20:08:05	e9972035-4412-4ede-981f-0db42c1a14e6	/	GET
20230822	20:08:05	a64b689a-4419-42d7-bb34-2da8a7e444ff	/css/style.css	GET
20230822	20:08:05	fbd29b83-a2f8-4f74-9ff0-4834ddf1ae94	/favicon.ico	GET
20230823	00:01:25	8bcfea7c-5169-4a54-8511-08d9a072433d	GET	undefined	/new-page
20230823	00:01:25	ff9a4c71-279c-42a9-8752-e40d03bbe937	GET	undefined	/css/style.css
20230823	00:01:25	a3964af5-8325-47d2-946b-53f092a2441e	GET	undefined	/img/img1.jpg
20230823	00:04:59	81ca26dd-a4df-4367-bded-70f195e1120a	GET	undefined	/new-page
20230823	00:04:59	881bed55-5c80-48a3-bcd5-0444e0a22ee0	GET	undefined	/img/img1.jpg
20230823	00:04:59	f95396ad-810a-441c-97d5-1c2ac4cdb8ac	GET	undefined	/css/style.css
20230823	00:05:14	ef8e1f75-5759-4bc1-a7d1-194b6ada273f	GET	undefined	/index
20230823	00:05:14	6de8f244-96e7-4d66-b5fd-0f43816fc73f	GET	undefined	/css/style.css
20230823	00:05:19	5e0e498c-92e8-4209-8a46-015a0f970762	GET	undefined	/index
20230823	00:05:19	bc9bb6a3-45db-4f2d-acba-e4e6fd5d4a8d	GET	undefined	/css/style.css
